aakkosellinen	الفبایی
v ri-	رنگ ، فام ، بشره ، تغییر رنگ دادن ، رنگ کردن ، ملون کردن
v rin	خطا ، اشتباه ، تقصیر و جرم غلط ، ناصحیح ، غیر منصفانه رفتار کردن ، بی احترامی کردن به ، سهو
v rink ytt	بد بکار بردن ، بد استعمال کردن ، سو استفاده کردن از ,ضایع کردن ، بدرفتاری کردن نسبت به ، تجاوز به حقوق کسی کردن ، به زنی تجاوز کردن ، ننگین کردن
v rinpitv	دارای رنگ ثابت ، رنگ نرو
v rist	لرزیدن ، دودل بودن ، هیجان
v ritt	رنگ ، فام ، بشره ، تغییر رنگ دادن ، رنگ کردن ، ملون کردن, بانشانهای نجابت خانوادگی اراستن ، تعریف کردن
v ritty	رنگ ، فام ، بشره ، تغییر رنگ دادن ، رنگ کردن ، ملون کردن, کج کردن ، تحریف کردن ، ازشکل طبیعی انداختن
v rjt	رنگ ، رنگ زنی ، رنگ کردن, چرده ، رنگ ، شکل ، تصویر ، ظاهر ، نما ، صورت ، هیلت ، منظر, خوب رنگ گرفتن ، خوب نفوذ کردن ، رسوخ کردن در ، اغشتن ، اشباع کردن ، ملهم کردن, رنگ کم ، رنگ جزیی ، سایه رنگ ، کمی رنگ زدن
v rti	ارزش ، قدر, ازرش ، قیمت ، بها ، سزاوار ، ثروت ، با ارزش
v rvyty	نامنویسی کردن ، ثبت نام کردن ، عضویت دادن ، درفهرست واردکردن, نوشتن ، نقش کردن ، حجاری کردن روی سطوح و ستونها ، حکاکی کردن ، ثبت کردن, تازه سرباز ، کارمند تازه ، نو اموز استخدام کردن ، نیروی تازه گرفتن ، حال امدن
v symys	خستگی ، فرسودگی
v sytt	اگزوز ، خروج (بخار) ، در رو ، مفر ، تهی کردن ، نیروی چیزی راگرفتن ، خسته کردن ، ازپای در اوردن ، تمام کردن ، بادقت بحث کردن, خسته کردن ، خسته ، از پا درامدن ، فرسودن ، لا ستیک چرخ ، لا ستیک ، لا ستیک زدن به, از پادر اوردن
vaade	ادعا ، دعوی ، مطالبه ، ادعا کردن
vaahto	کف ، جوش وخروش ، حباب های ریز ، کف کردن ، کف بدهان اوردن, کف ، سرجوش ، یاوه ، سخن پوچ ، کف کردن ، بکف اوردن ، اظهارکردن ، نمایاندن ، صدا زدن
vaaka	ترازو ، میزان ، تراز ، موازنه ، تتمه حساب ، برابرکردن ، موازنه کردن ، توازن
vaakasuora	افقی ، ترازی ، سطح افقی
vaakuna	طاقت ، بردباری ، وضع ، رفتار ، سلوک ، جهت ، نسبت
vaalea	بور ، سفیدرو ، بوری (برای مرد بور وبرای زن بلوند گفته میشود), فروغ ، روشنایی ، نور ، اتش ، کبریت ، لحاظ ، جنبه ، اشکار کردن ، اتش زدن ، مشتعل شدن ، ضعیف ، خفیف ، اهسته ,اندک ,اسان ,کم قیمت ,قلیل ,مختصر ,فرار ,هوس امیز ,وارسته ,بی عفت ,هوس باز ,خل ,سرگرم کننده ,غیرجدی ,باررا سبک کردن ,تخفیف دادن ,فرودامدن ,واقع شدن ,وفوع یافتن ,سر رسیدن ,رخ دادن, کمرنگ ، رنگ پریده ، رنگ رفته ، بی نور ، رنگ پریده شدن ,رنگ رفتن ، در میان نرده محصور کردن ، احاطه کردن ، میله دار کردن ، نرده ، حصار دفاعی ، دفاع ، ناحیه محصور ، قلمروحدود
vaaleanpunainen	رنگ صورتی ، سوراخ سوراخ کردن یا بریدن
vaaleaverinen	بور ، سفیدرو ، بور
vaali	رای دادن ، انتخاب ، انتخاب نماینده ، گزینش, رای جویی ، پهنه ، رای ، اخذ رای دسته جمعی ، تعداد اراء اخذ اراء (معمولا بصورت جمع) ، فهرست نامزدهای انتخاباتی ، مراجعه به اراء عمومی ، رای دادن یا اوردن ، راس کلا ه
vaalia	قدردانی کردن (از) ، تقدیر کردن ، درک کردن ، احساس کردن ، بربهای چیزی افزودن ، قدر چیزی را دانستن, انعام ، جایزه ، ممتاز ، غنیمت ، ارزش بسیار قاءل شدن ، مغتنم شمردن, گنج ، گنجینه ، خزانه ، ثروت ، جواهر ، گنجینه اندوختن ، گرامی داشتن ، دفینه, ارزش ، قدر
vaan	سریع تر ، بلکه ، بیشتر ، تا یک اندازه ، نسبتا ، با میل بیشتری ، ترجیحا
vaania	کمین کردن ، در تکاپو بودن ، درکمین شکار بودن ، در انتظار فرصت بودن ، دزدکی عمل کردن ، در خفا انجام دادن, دسته ، گروه ، دزدکی حرکت کردن ، از زیر مسلولیت فرار کردن ، ادم بی بند وبار
vaappu	دو شاخه
vaara	خطر, قمار ، مخاطره ، خطر ، اتفاق ، در معرض مخاطره قرار دادن ، بخطر انداختن, خطر ، مخاطره ، بیم زیان ، مسلولیت ، درخطر انداختن ، در خطر بودن
vaarantaa	تراضی ، مصالحه ، توافق ، مصالحه کردن ، تسویه کردن, به مخاطره انداختن ، در معرض خطر گذاشتن, بی پناه گذاشتن ، بی حفاظ گذاردن ، درمعرض گذاشتن ، نمایش دادن ، افشاء کردن, قمار ، مخاطره ، خطر ، اتفاق ، در معرض مخاطره قرار دادن ، بخطر انداختن, بخطر انداختن, خطر ، مخاطره ، ریسک ، احتمال زیان و ضرر ، گشاد بازی ، بخطر انداختن, جرات ، جسارت ، مخاطره ، معامله قماری ، اقدام بکار مخاطره امیز ، مبادرت ، ریسک ، اقدام یا مبادرت کردن ب
vaasi	ظرف ، گلدان ، گلدان نقره و غیره
vaate	پارچه ، قماش, جامه ، پوشاک ، جامه رو ، رخت
vaatettaa	رخت ، اسباب ، اراستن ، پوشاندن ، جامه, پوشاندن ، اراستن, لباس پوشیدن ، جامه بتن کردن ، مزین کردن ، لباس ، درست کردن موی سر ، پانسمان کردن ، پیراستن, لباس ، پوشاک ویژه ، کسوت ، ظاهر ، طرز ، جامه پوشانیدن به ، لباس پوشانیدن ، طرز رفتار, جامه ، پوشاک ، جامه رو ، رخت, لباس پوشیده ، ملبس ، شایستگی داشتن ، مجهز کردن, جامه ، پوشاک ، ملبوس پوشاندن, جامه پوشاندن ، لباس پوشیدن ، جامه
vaatetus	لباس پوشیدن ، جامه بتن کردن ، مزین کردن ، لباس ، درست کردن موی سر ، پانسمان کردن ، پیراستن
vaatia	فرمان, مجبورکردن ، وادار کردن, در محظور قرار دادن ، متعهد و ملتزم کردن ، ضامن سپردن ، ضروری, مجبور کردن ، وادار کردن ، مرهون ساختن ، متعهد شدن ، لطف کردن, تقاضا ، درخواست ، ادعا ، قیاس منطقی ، بدیهی شمرده ، لا زم دانستن ، قیاس منطقی کردن ، فرض نمودن, بایستن ، لا زم داشتن ، خواستن ، مستلزم بودن ، نیاز داشت
vaatimalla vaatia	اصرار ورزیدن ، پاپی شدن ، سماجت ، تکیه کردن بر ، پافشاری کردن
vaatimaton	زبون ، فروتن ، متواضع ، محقر ، پست ، بدون ارتفاع ، پست کردن ، فروتنی کردن ، شکسته نفسی کردن, صدای گاو ، مع مع کردن ، : پست ، کوتاه ، دون ، فرومایه ، پایین ، اهسته ، پست ومبتذل ، سربزیر ، فروتن ، افتاده ، کم ، اندک ، خفیف ، مشتعل شدن ، زبانه کشیدن, خوار ، دون ، پست ، صغیر ، افتاده ، فروتن ، بی ادب ، بطورپست, کمتر ، کوچکتر ، پایین رتبه ، خردسال ، اصغر ، شخص نابالغ ، محزون ، رشته فرعی ، کهاد ، صغری ، در رشته ثانوی یا فرعی تحصیل کردن ، کماد, باحیا ، افتاده ، فروتن ، معتدل ، نسبتا کم, کوچک ، خرده ، ریز ، محقر ، خفیف ، پست ، غیر مهم ، جزءی ، کم ، دون ، کوچک شدن یاکردن, فروتن ، بی ادعا ، افتاده ، بی تصنع ، بی تکلف ، ساده
vaatimus	ادعا ، دعوی ، مطالبه ، ادعا کردن, دربایست ، نیازمندی ، تقاضا ، احتیاج ، الزام ، نیاز ، ایجاب ، التزام
vaatteet	جامه لباس ، ملبوس ، رخت
vadelma	تمشک
vaeltaa	کوچیدن ، کوچ کردن ، مهاجرت کردن, پرسه زدن ، تکاپو ، گشتن ، سیر کردن ، گردیدن ، سرگردانی, سرگردان بودن ، اواره بودن ، منحرف شدن
vaeltaja	کوچ گر ، بدوی ، چادر نشین ، ایلیاتی ، خانه بدوش ، صحرانشین, سرگردان ، سیار ، اواره
vaeltava	عیار ، اواره ، سرگردان ، حادثه جو ، کمراه ، منحرف ، بدنا
vaha	موم ، مومی شکل ، شمع مومی ، رشد کردن ، زیاد شدن ، رو به بدر رفتن ، استحاله یافتن
vahingollinen	مضر ، پرگزند, مضر ، اسیب رسان
vahva	پرعضله ، گوشتالو ، ماهیچه دار ، نیرومند ، قوی ، سفت, نیرومند ، مقتدر, نیرومند ، قوی ، پر زور ، محکم ، سخت
vahvistaa	جلو رفتن ، جلو بردن ، پیشرفت ، مساعده, اظهارکردن ، بطور قطع گفتن ، تصدیق کردن ، اثبات کردن ، تصریح کردن ، شهادت دادن, بالا بردن ، زیاد کردن, تصدیق کردن ، صحت وسقم چیزی را معلوم کردن ، شهادت کتبی دادن ، مطملن کردن ، تضمین کردن ، گواهی کردن, تایید کردن ، تصدیق کردن ، تثبیت کردن, تایید کردن ، تقویت کردن ، اثبات کردن, سخت کردن ، تشدید کردن ، شدید شدن, مسند ، خبر ، مسندی ، خبری ، خبر دادن ، اطلا ق کردن ، بصورت مسند قرار دادن ، مبتنی کردن ، مستند کردن ، گزاره, اعلا ن کردن ، علنا اظهار داشتن ، جار زدن, تقویت کردن ، محکم کردن ، مدد کردن, نیرومند کردن ، قوی کردن ، تقویت دادن ، تقویت یافتن ، تحکیم کردن, ماهیت جسمانی دادن به ، شکل مادی بخشیدن به ، با دلیل ومدرک اثبات کردن, تجاوز کردن ، لبریز شدن ، نیروی برق بیش از اندازه رساندن به (ماشین وغیره) ، دستگاه تشدید, تحمل کردن ، حمایت کردن ، متکفل بودن ، نگاهداری ، تقویت ، تایید ، کمک ، پشتیبان زیر برد ، زیر بری ، پشتیبانی کردن
vahvistin	تقویت کننده
vahvistua	سخت کردن ، تشدید کردن ، شدید شدن, نیرومند کردن ، قوی کردن ، تقویت دادن ، تقویت یافتن ، تحکیم کردن
vahvistus	تایید ، تصدیق
vai	یا ، یا اینکه ، یا انکه ، خواه ، چه
vaieta	مادر ، خاموشی ، سکوت ، شخص خاموش ، ساکت بودن
vaihda	دگرگون کردن یاشدن ، دگرگونی ، تغییر ، پول خرد ، مبادله ، عوض کردن ، تغییردادن ، معاوضه کردن ، خردکردن (پول) ، تغییر کردن ، عوض شدن
vaihdannaisuus	جابجایی پذیری
vaihde	دنده ، چرخ دنده ، مجموع چرخهای دنده دار ، اسباب ، لوازم ، ادوات ، افزار ، الا ت ، جامه ، پوشش ، دنده دار(یادندانه دار) کردن ، اماده کارکردن ، پوشانیدن, ترکه ، چوب زدن ، سویچ برق ، سویچ زدن ، جریان را عوض کردن ، تعویض
vaihdella	تغییر کردن ، تغییر داد
vaihe	منظر ، وجهه ، صورت ، لحاظ ، پایه ، مرحله ، دوره تحول وتغییر ، اهله قمر ، جنبه ، وضع ، مرحله ای کردن, مرحله ، صحنه
vaihekulma	نشانوند ، استدلا ل, منظر ، وجهه ، صورت ، لحاظ ، پایه ، مرحله ، دوره تحول وتغییر ، اهله قمر ، جنبه ، وضع ، مرحله ای کردن
vaihtaa	دگرگون کردن یاشدن ، دگرگونی ، تغییر ، پول خرد ، مبادله ، عوض کردن ، تغییردادن ، معاوضه کردن ، خردکردن (پول) ، تغییر کردن ، عوض شدن, تبدیل کردن ، مسافرت کردن با بلیط تخفیف دار ، هر روزاز حومه بشهر وبالعکس سفرکردن, تبدیل کردن ، معکوس کردن, معاوضه ، ردو بدل کننده, دنده ، چرخ دنده ، مجموع چرخهای دنده دار ، اسباب ، لوازم ، ادوات ، افزار ، الا ت ، جامه ، پوشش ، دنده دار(یادندانه دار) کردن ، اماده کارکردن ، پوشانیدن, باهم عوض کردن ، مبادله کردن ، تبادل کردن ، تغییر دادن ، متناوب ساختن, معاوضه ، عوض کردن ، مبادله کردن ، بیرون کردن ، جانشین کردن ، اخراج کردن, ترکه ، چوب زدن ، سویچ برق ، سویچ زدن ، جریان را عوض کردن ، تعویض
vaihtaa jrjestyst	تبدیل کردن ، مسافرت کردن با بلیط تخفیف دار ، هر روزاز حومه بشهر وبالعکس سفرکردن, جایگرداندن
vaihtaa kesken n	باهم عوض کردن ، مبادله کردن ، تبادل کردن ، تغییر دادن ، متناوب ساختن, پس وپیش کردن ، قلب کردن ، مقدم وموخر کردن ، بطرف دیگر معادله بردن
vaihtaa kirjeit	برابربودن ، بهم مربوط بودن ، مانند یا مشابه بودن ، مکاتبه کردن, رابطه داشتن
vaihteleva	متناوب ، تناوبی
vaihto	معاوضه ، ردو بدل کننده
vaihtoehto	شق ، شق دیگر ، پیشنهاد متناوب ، چاره
vaijeri	سیم ، مفتول ، سیم تلگراف ، سیم کشی کردن ، مخابره کردن
vaikea	سخت ، دشوار ، مشکل ، سخت گیر ، صعب ، گرفتگیر, سخت ، سفت ، دشوار ، مشکل ، شدید ، قوی ، سخت گیر ، نامطبوع ، زمخت ، خسیس ، درمضیقه
vaikeaselkoinen	پنهان ، پیچیده ، غامض, نفهمیدنی ، دور از فهم ، درک نکردنی ، نا محدود, پوشیده ، نهان ، مرموز ، عمیق ، پیچیده
vaikeus	سختی ، دشواری ، اشکال ، زحمت ، گرفتگیری, مسلله ، مشکل
vaikka	اگرچه ، گرچه ، هرچند ، بااینکه, بهرحال ، باوجود ان ، بهرجهت ، اگرچه ، گرچه ، هرچند با اینکه ، باوجوداینکه ، ولو ، ولی
vaikka kuinka mones	بی حد و حصر ، معتنی به ، متعدد ، وافر ، بیشمار
vaikkakin	اگرچه ، گرچه ، هرچند ، بااینکه, هرچند ، اگر چه ، هر قدر هم ، بهر حال ، هنوز ، اما
vaikutin	انگیزه ، محرک ، داعی ، سبب ، علت ، انگیختن, دلیل ، سبب ، علت ، عقل ، خرد ، شعور ، استدلا ل کردن ، دلیل و برهان اوردن
vaikuttaa	تصمیم گرفتن ، مصمم شدن ، حکم دادن ، تعیین کردن, بهم فشردن ، پیچیدن ، زیر فشار قرار دادن ، با شدت ادا کردن ، با شدت اصابت کردن ، ضربت ، فشار ، تماس ، اصابت ، اثر شدید ، ضربه, تحت تاثیر قرار دادن ، باقی گذاردن ، نشان گذاردن ، تاثیر کردن بر ، مهر زدن ، :مهر ، نشان ، اثر ، نقش ، طبع ، نشان, نفوذ ، تاثیر ، اعتبار ، برتری ، تفوق ، توانایی ، تجلی, گرفتار کردن ، گیر انداختن ، وارد کردن ، گرفتارشدن ، در گیر کردن یا شدن, تنظیم کردن ، میزان کردن ، درست کردن, بنظر امدن ، نمودن ، مناسب بودن ، وانمود شدن ، وانمود کردن ، ظاهر شدن, ریخت ، شکل دادن
vaikuttaa osaltaan johonkin	مشارکت کردن در ، سهم دادن در ، کردن ، دارفانی را وداع گفتن
vaikuttava	متقاعد کننده ، دارای قدرت وزور, تحمیل کننده ، با ابهت, موثر ، برانگیزنده ، برانگیزنده احساسات ، گیرا, نیرومند ، مقتدر
vaikutusvaltainen	امر ، مقتدر ، توانا ، معتبر, مهم
vailla	برون ، بیرون ، بیرون از ، از بیرون ، بطرف خارج ، انطرف ، فاقد ، بدون
vaimennus	میرایی ، تضعیف
vaimentaa	نم ، رطوبت ، دلمرده کردن ، حالت خفقان پیدا کردن ، مرطوب ساختن, خفه کردن ، خفه شدن ، تعدیل کردن, نرم کردن ، ملا یم کردن ، اهسته ترکردن ، شیرین کردن ، فرونشاندن ، خوابانیدن ، کاستن ، از ، کم کردن ، نرم شدن, سست کردن ، ضعیف کردن ، سست شدن ، ضعیف شدن ، کم نیرو شدن ، کم کردن ، تقلیل دادن
vaimo	زن ، زوجه ، عیال ، خانم
vain	عادل ، دادگر ، منصف ، باانصاف ، بی طرف ، منصفانه ، مقتضی ، بجا ، مستحق ، :(d.g.) فقط ، درست ، تنها ، عینا ، الساعه ، اندکی پیش ، درهمان دم, فقط ، تنها ، محض ، بس ، بیگانه ، عمده ، صرفا ، منحصرا ، یگانه ، فقط بخاطر
vainaja	مرده ، مرحوم, ازبین رفته ، تمام شده ، مرده ، درگذشته
vaino	عداوت ، دشمنی ، جنگ ونزاع ، عداوت کردن ، (قرون وسطی) حق موروثی, زجر ، شکنجه ، ازار ، اذیت, ازار وکشتار همگانی ، قتل عام کردن
vainolainen	دشمن ، عدو ، مخالف ، ضد ، منافی ، مضر ، حریف
vainooja	ازار دهنده ، اذیت کننده, تعقیب کننده
vainu	شامه سگ ، بویایی ، قوه تشخیص ، فراست ، استعداد ، خصیصه, خم کردن ، بشکل قوز دراوردن ، قوز کردن ، تنه زدن ، قوز ، گوژ ، قلنبه ، فشار با ارنج ، کوهان ، ظن ، احساس وقوع امری در اینده, بینی ، عضو بویایی ، نوک بر امده هر چیزی ، دماغه ، بو کشیدن ، بینی مالیدن به ، مواجه شدن با, بو ، عطر ، ردشکار ، سراغ ، سررشته ، پی ، رایحه ، خوشبویی ، ادراک ، بوکشیدن, باد ، نفخ ، بادخورده کردن ، درمعرض بادگذاردن ، ازنفس انداختن ، نفس ، خسته کردن یاشدن ، ازنفس افتادن ، : پیچاندن ، پیچیدن ، پیچ دان ، کوک کردن(ساعت و غیره) ، انحناء ، انحنایافتن ، حلقه زدن ، چرخاندن
vainukoira	کاراگاه ، رد پای کسی را گرفتن, تازی بویی ، کاراگاه زبردست
vaippa	کت ، نیمتنه ، روکش ، پوشاندن ، روکش کردن ، اندودن, روکش ، پوشش, پارچه ء قنداق ، گل و بوته دارکردن ، گل و بوته کشیدن ، کهنه ء بچه را عوض کردن, دستمال سفره ، دستمال ، سینه بند ، پیش انداز, کلفت و پرزدار ، خواب دار ، قدری مست ، لول ، چموش ، ابجوی قوی, پوست ، قشر ، صدف حلزون ، کاسه یا لا ک محافظ جانور (مثل کاسه لا ک پشت) ، عامل محافظ حفاظ ، جلد ، پوست فندق وغیره ، کالبد ، بدنه ساختمان ، گلوله توپ ، پوکه فشنگ ، قشر زمین ، سبوس گیری کردن ، پوست کندن از ، مغز میوه را دراوردن (از پوست)
vaipua	نسیان ، لغزش ، خطا ، برگشت ، انحراف موقت ، انصراف ، مرور ، گذشت زمان ، زوال ، سپری شدن ، انقضاء ، استفاده از مرور زمان ، ترک اولی ، الحاد ، خرف شدن ، سهو و نسیان کردن ، از مدافتادن ، مشمول مرور زمان شدن, چاهک ، فرو رفتن ، فروبردن
vaisto	غریزه ، شعور حیوانی ، هوش طبیعی جانوران
vaisu	رام ، اهلی ، بیروح ، بیمزه ، خودمانی ، راه کردن
vaiva	دردسر دادن ، زحمت دادن ، مخل اسایش شدن ، نگران شدن ، جوش زدن و خودخوری کردن ، رنجش ، پریشانی ، مایه زحمت, ازردن, پاگیری ، بازماندگی ، اذیت ، ازار ، مانع ، سبب تاخیر, زحمت ، ناراحتی ، دردسر ، ناسازگاری ، ناجوری ، نامناسبی ، اسیب ، اذیت ، اسباب زحمت, ازار ، مایه تصدیع خاطر ، مایه رنجش ، اذیت
vaivata	دردسر دادن ، زحمت دادن ، مخل اسایش شدن ، نگران شدن ، جوش زدن و خودخوری کردن ، رنجش ، پریشانی ، مایه زحمت, مختل کردن ، مزاحم شدن, پسین ، عقبی ، مانع ، واقع در عقب ، پشتی ، عقب انداختن ، پاگیرشدن ، بازمانده کردن ، مانع شدن ، بتاخیر انداختن, ازار ، ازار دادن ، رنجه کردن ، زحمت دادن ، دچار کردن ، اشفتن ، مصدع شدن ، مزاحمت ، زحمت ، رنجه
vaivata mielt	دردسر دادن ، زحمت دادن ، مخل اسایش شدن ، نگران شدن ، جوش زدن و خودخوری کردن ، رنجش ، پریشانی ، مایه زحمت, پریشانی ، اندوه ، محنت ، تنگدستی ، درد ، مضطرب کردن ، محنت زده کردن
vaivaton	اسان ، سهل ، بی زحمت ، اسوده ، ملا یم ، روان ، سلیس, اسان ، باسانی ، باسانی قابل اجرا ، سهل الحصول
vaje	کمبود ، کسر ، کسرعمل ، کسر درامد
vakaa	قابل اعتماد ، توکل پذیر, شرکت ، تجارتخانه ، کارخانه ، موسسه بازرگانی ، استوار ، محکم ، ثابت ، پابرجا ، راسخ ، سفت کردن ، استوار کردن, مستقر وپایدار ، بدون حرکت ، بی حرکت ، مقاوم در برابر گرما, پایا ، پایدار, یکنواخت ، محکم ، پرپشت ، استوار ، ثابت ، پی درپی ، مداوم ، پیوسته ویکنواخت کردن ، استوار یا محکم کردن ، ساکن شدن
vakava	جدی ، دلگرم ، باحرارت ، مشتاق ، صمیمانه ، سنگین ، علا قه شدید به چیزی ، وثیقه ، بیعانه, قبر ، گودال ، سخت ، بم ، خطرناک ، بزرگ ، مهم ، موقر ، سنگین ، نقش کردن ، تراشیدن ، حفر کردن ، قبر کندن ، دفن کردن, شدید ، دردناک ، تالم اور ، اندوه اورد, جدی ، مهم ، خطیر ، سخت ، خطرناک ، وخیم, سخت ، سخت گیر ، طاقت فرسا ، شاق ، شدید
vakiinnuttaa	تاسیس کردن ، دایرکردن ، بنانهادن ، برپاکردن ، ساختن ، برقرارکردن ، تصدیق کردن ، تصفیه کردن ، کسی رابه مقامی گماردن ، شهرت یامقامی کسب کردن, پایاساختن ، تثبیت کردن
vakiintumaton	اسان ، سهل ، بی زحمت ، اسوده ، ملا یم ، روان ، سلیس, شل ، سست ، لق ، گشاد ، ول ، ازاد ، بی ربط ، هرزه ، بی بندوبار ، لوس وننر ، بی پایه ، بی قاعده ، رهاکردن ، درکردن(گلوله وغیره) ، منتفی کردن ، برطرف کردن ، شل وسست شدن ، نرم وازاد شدن ، حل کردن ، از قید مسلولیت ازاد ساختن ، سبکبار کردن ، پرداختن, ناوابسته ، توفیق نشده ، اعزام نشده ، ازاد ، منتظردستو
vakio	ثابت
vakoilija	جاسوس ، جاسوسی کردن
vakoilla	کاراگاه ، رد پای کسی را گرفتن, نگاه تجسس امیز کردن ، بدنبال غذا پوییدن ، بدنبال متخلفین قانون گشتن ، مخفیانه تحقیقات بعمل اوردن ، جستجو کننده ، جاسوس, جاسوس ، جاسوسی کردن, گوزن (قرمز نر) ، کره اسب ، حیوان نر (بطور کلی) ، جلسه یا مهمانی مردانه ، کوتاه کردن ، بریدن ، جاسوسی کردن ، پاییدن
vakoilu	جاسوسی
vakooja	جاسوس ، جاسوسی کردن
vakuuttaa	ادعا کردن, اطمینان دادن ، بیمه کردن ، مجاب کردن, متقاعد کردن ، قانع کردن, بیمه کردن ، بیمه بدست اوردن ، ضمانت کردن, وادار کردن ، بران داشتن ، ترغیب کردن
vakuuttava	متقاعد کننده ، دارای قدرت وزور, متقاعد کننده, موثر ، برانگیزنده ، برانگیزنده احساسات ، گیرا, قوی ، پرزور ، نیرومند
vakuutus	پشتگرمی ، اطمینان ، دلگرمی ، خاطرجمعی ، گستاخی ، بیمه(مخصوصا بیمه عمر) ، تعهد ، قید ، گرفتاری ، ضمانت ، وثیقه ، تضمین ، گروی, بیمه ، حق بیمه ، پول بیمه
vala	پیمان ، سوگند ، قسم خوردن
valaa	درقالب قرار دادن ، بشکل دراوردن ، انداختن ، طرح کردن ,معین کردن (رل بازیگر) ، پخش کردن (رل میان بازیگران) ، پراکندن ، ریختن بطور اسم صدر) ، مهره ریزی ، طاس اندازی ، قالب ، طرح ، گچ گیری ، افکندن, قارچ انگلی گیاهان ، کپک قارچی ، کپرک ، کپرک زدن ، قالب ، کالبد ، با قالب بشکل دراوردن, قالب ، کالبد ، فطرت ، الگو ، کپک ، کپک زدن
valaista	روشن کردن ، واضح کردن ، توضیح دادن, متبلور کردن ، متشکل کردن ، شکل دادن, روشن کردن ، توضیح دادن ، شفاف ، روشن, روشن فکرکردن ، روشن کردن ، تعلیم دادن, روشن کردن ، منور کردن ، روشن فکر ساختن, روشن کردن ، درخشان ساختن ، زرنما کردن ، چراغانی کردن ، موضوعی را روشن کردن ، روشن (شده) ، منور ، روشن فکر, روشن کردن, فروغ ، روشنایی ، نور ، اتش ، کبریت ، لحاظ ، جنبه ، اشکار کردن ، اتش زدن ، مشتعل شدن ، ضعیف ، خفیف ، اهسته ,اندک ,اسان ,کم قیمت ,قلیل ,مختصر ,فرار ,هوس امیز ,وارسته ,بی عفت ,هوس باز ,خل ,سرگرم کننده ,غیرجدی ,باررا سبک کردن ,تخفیف دادن ,فرودامدن ,واقع شدن ,وفوع یافتن ,سر رسیدن ,رخ دادن
valaistus	اذرخش ، برق (در رعد وبرق) ، اذرخش زدن ، برق زدن
valanalainen lausunto	سوگندنامه ، گواهینامه ، شهادت نامه ، استشهاد, گواهی ، شهادت ، تصدیق امضاء ، تحلیف ، سوگند
valas	وال ، نهنگ ، عظیم الجثه ، نهنگ صید کردن ، قیطس
vale	ساخت, دروغ ، کذب ، سخن دروغ, دروغ گفتن ، سخن نادرست گفتن ، دروغ ، کذب ,(.vi&.vt): دراز کشیدن ، استراحت کردن  ، خوابیدن ، افتادن ، ماندن ، واقع شدن ، قرار گرفتن ، موقتا ماندن ، وضع ، موقعیت ، چگونگی, خلا ف حقیقت ، کذب ، ناراستی ، سقم ، خیانت
valehdella	دروغ گفتن ، سخن نادرست گفتن ، دروغ ، کذب ,(.vi&.vt): دراز کشیدن ، استراحت کردن  ، خوابیدن ، افتادن ، ماندن ، واقع شدن ، قرار گرفتن ، موقتا ماندن ، وضع ، موقعیت ، چگونگی
valehtelija	افسانه نویس, دروغگو ، کذاب ، کاذب
valhe	دروغ گفتن ، سخن نادرست گفتن ، دروغ ، کذب ,(.vi&.vt): دراز کشیدن ، استراحت کردن  ، خوابیدن ، افتادن ، ماندن ، واقع شدن ، قرار گرفتن ، موقتا ماندن ، وضع ، موقعیت ، چگونگی
valinnanvapaus	بصیرت ، احتیاط ، حزم ، نظر ، رای ، صلا حدید, اختیاری ، ازادی اراده ، طیب خاطر
valinta	پسند ، انتخاب ، چیز نخبه ، برگزیده ، منتخب
valintakelpoinen	قابل انتخاب ، واجد شرایط ، مطلوب
valita	گزیدن ، انتخاب کردن ، خواستن ، پسندیدن, برگزیدن ، انتخاب کردن, جدا کردن ، انتخاب کردن, ترجیح یافتن یادادن ، برتری دادن ، رجحان دادن ، برگزیدن, گزیدن ، انتخاب کردن, گرفتن ، ستاندن ، لمس کردن ، بردن ، برداشتن ، خوردن ، پنداشتن
valita jonkin sijaan	گزیدن ، انتخاب کردن ، خواستن ، پسندیدن, برگزیدن ، انتخاب کردن
valitella	تاسف خوردن ، زاریدن ، سوگواری کردن ، سوگواری ، ضجه و زاری کردن, شیون کردن ، ناله کردن ، ماتم گرفتن ، ناله
valitettava	جنایی ، بزهکار ، جنایتکار ، جانی ، گناهکار, مایه دلسوزی ، رقت انگیز ، اسفناک ، زار, سزاوار سرزنش ، سرزنش کردنی
valittaa	درخواست ، التماس ، جذبه ، استیناف, شکایت کردن ، غرولند کردن ، نالیدن, دلسوزی کردن بر ، رقت اوردن بر, شکایت ، شکوه کردن ، نق نق زدن ، گله کردن ، گله ، محکم گرفتن ، با مشت گرفتن ، ازردن ، فهمیدن ، گیر ، گرفتن ، چنگ ، تسلط ، مهارت ، درد سخت ، تشنج موضعی ، قولنج, پشیمانی ، افسوس ، تاسف ، افسوس خوردن ، حسرت بردن ، نادم شدن ، تاثر, نالیدن ، ناله کردن ، با ناله گفتن ، ناله ، فغان
valitus	شکایت ، دادخواهی
valjakko	گروه ، گروهه ، دسته ، دست ، جفت ، یک دستگاه ، تیم ، دسته درست کردن ، بصورت دسته یاتیم درامدن
valjastaa	توسعه دادن ، ایجاد کردن, افسار ، دهنه ، تارکش ، اشیاء ، تهیه کردن ، افسار زدن ، زین وبرگ کردن ، مهارکردن ، مطیع کردن ، تحت کنترل دراوردن
